Tournament,Seed,TeamID
M,W01,1181
M,W02,1104
M,W03,1458
M,W04,1112
M,W05,1332
M,W06,1140
M,W07,1388
M,W08,1280
M,W09,1124
M,W10,1435
M,W11,1433
M,W12,1251
M,W13,1103
M,W14,1285
M,W15,1352
M,W16,1291
M,X01,1222
M,X02,1397
M,X03,1246
M,X04,1345
M,X05,1155
M,X06,1228
M,X07,1417
M,X08,1211
M,X09,1208
M,X10,1429
M,X11,1462
M,X12,1270
M,X13,1219
M,X14,1407
M,X15,1459
M,X16,1188
M,Y01,1120
M,Y02,1277
M,Y03,1235
M,Y04,1401
M,Y05,1276
M,Y06,1279
M,Y07,1266
M,Y08,1257
M,Y09,1166
M,Y10,1307
M,Y11,1314
M,Y12,1471
M,Y13,1463
M,Y14,1252
M,Y15,1136
M,Y16,1106
M,Z01,1196
M,Z02,1385
M,Z03,1403
M,Z04,1268
M,Z05,1272
M,Z06,1281
M,Z07,1242
M,Z08,1163
M,Z09,1328
M,Z10,1116
M,Z11,1179
M,Z12,1161
M,Z13,1213
M,Z14,1423
M,Z15,1303
M,Z16,1313